,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,tuatapere,-46.13,167.68,8.89,90,99,0.89,NZ,1603902943
273,tasiilaq,65.61,-37.64,3.0,27,75,8.7,GL,1603902932
274,guanica,17.97,-66.91,31.67,55,52,1.34,PR,1603903041
275,burns lake,54.23,-125.75,2.21,90,100,0.52,CA,1603903041
276,losal,27.4,74.92,21.17,21,0,2.81,IN,1603903042
277,sosva,59.18,61.86,1.99,85,100,3.83,RU,1603903042
278,borogontsy,62.67,131.17,-15.08,94,100,2.01,RU,1603903042
279,presidencia roque saenz pena,-26.79,-60.44,33.33,32,0,1.34,AR,1603903042
280,nicoya,10.15,-85.45,27.0,88,75,2.6,CR,1603903042
281,sarangani,5.4,125.46,27.57,68,100,2.93,PH,1603903042
282,prince rupert,54.32,-130.32,3.0,100,40,1.0,CA,1603903042
283,fort-shevchenko,44.51,50.26,10.61,43,0,9.92,KZ,1603903043
284,cap malheureux,-19.98,57.61,23.33,73,87,3.13,MU,1603903043
285,malanje,-9.54,16.34,21.05,90,100,2.02,AO,1603903043
286,charters towers,-20.1,146.27,22.33,51,0,2.61,AU,1603903043
287,geraldton,-28.77,114.6,17.0,72,0,5.7,AU,1603903043
288,marsa matruh,31.35,27.25,26.0,54,0,3.6,EG,1603903043
289,demmin,53.91,13.03,12.0,76,40,3.1,DE,1603903043
290,isangel,-19.55,169.27,22.41,77,24,5.69,VU,1603903044
291,honavar,14.28,74.45,25.22,66,9,1.89,IN,1603903044
292,inta,66.03,60.17,0.81,94,100,4.58,RU,1603903044
293,lavrentiya,65.58,-171.0,-3.92,88,13,2.59,RU,1603902923
294,sabha,27.04,14.43,23.08,30,0,3.53,LY,1603902892
295,sorland,67.67,12.69,7.0,81,75,0.5,NO,1603903044
296,dalbandin,28.89,64.41,14.18,30,0,1.01,PK,1603903044
297,gijon,43.54,-5.66,18.89,79,60,1.34,ES,1603902753
298,shache,38.42,77.24,6.36,52,100,1.73,CN,1603903045
299,caravelas,-17.71,-39.25,27.15,77,88,7.22,BR,1603903045
300,hinton,53.4,-117.59,1.96,85,99,1.25,CA,1603902984
301,akureyri,65.68,-18.09,5.0,75,75,7.2,IS,1603903045
302,kharan,28.58,65.42,18.49,22,0,5.14,PK,1603903045
303,roma,43.21,-75.46,8.33,93,90,2.65,US,1603903045
304,guerrero negro,27.98,-114.06,19.73,25,0,0.3,MX,1603903045
305,bida,9.08,6.02,29.89,40,11,0.97,NG,1603903046
306,lakshmipur,22.95,90.83,25.58,78,0,3.01,BD,1603903046
307,omboue,-1.57,9.26,24.27,93,100,2.81,GA,1603903046
308,nikel,69.41,30.22,-1.0,92,20,7.7,RU,1603903046
309,komotini,41.12,25.4,18.33,72,98,0.45,GR,1603903046
310,avera,33.19,-82.53,26.0,88,90,3.6,US,1603903046
311,colquechaca,-18.67,-66.02,10.48,34,5,8.46,BO,1603903047
312,nadvoitsy,63.87,34.32,7.96,80,81,4.83,RU,1603903047
